route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
100215,1851,27810736,"AURORA VILLAGE JACKSON PARK","EXPRESS",0,3800446-1,11373011
100215,1851,27810735,"AURORA VILLAGE JACKSON PARK","EXPRESS",0,3800404-1,11373011
100195,1851,27810734,"SHORELINE CC FIRCREST","LOCAL",0,3800301-1,31330005
100195,1851,27810733,"SHORELINE CC FIRCREST","LOCAL",0,3800301-1,31330005
100195,1851,27810732,"LAKE CITY FIRCREST","LOCAL",1,3800301-1,40330006
100195,1851,27810731,"SHORELINE CC FIRCREST","LOCAL",0,3800301-1,31330005
100195,1851,27810730,"LAKE CITY FIRCREST","LOCAL",1,3800301-1,40330006
100195,1851,27810729,"SHORELINE CC FIRCREST","LOCAL",0,3800301-1,31330005
100195,1851,27810728,"LAKE CITY FIRCREST","LOCAL",1,3800301-1,40330006
100195,1851,27810727,"LAKE CITY FIRCREST","LOCAL",1,3800301-1,40330006
100195,1851,27810726,"SHORELINE CC FIRCREST","LOCAL",0,3800301-1,31330005
100195,1851,27810725,"LAKE CITY FIRCREST","LOCAL",1,3800301-1,40330006
100195,1851,27810724,"SHORELINE CC FIRCREST","LOCAL",0,3800301-1,31330005
100195,1851,27810723,"LAKE CITY FIRCREST","LOCAL",1,3800301-1,40330006
100195,1851,27810722,"SHORELINE CC FIRCREST","LOCAL",0,3800301-1,31330005
100195,1851,27810721,"LAKE CITY FIRCREST","LOCAL",1,3800301-1,40330006
100195,1851,27810720,"SHORELINE CC FIRCREST","LOCAL",0,3800301-1,31330005
100195,1851,27810719,"SHORELINE CC FIRCREST","LOCAL",0,3800301-1,31330005
100195,1851,27810718,"LAKE CITY FIRCREST","LOCAL",1,3800301-1,40330006
100195,1851,27810717,"SHORELINE CC FIRCREST","LOCAL",0,3800301-1,31330005
100195,1851,27810716,"SHORELINE CC FIRCREST","LOCAL",0,3800301-1,31330005
100256,1851,27810715,"NORTHGATE EASTLAKE","EXPRESS",0,3800409-1,11066115
100256,1851,27810714,"NORTHGATE EASTLAKE","EXPRESS",0,3800415-1,11066116
100256,1851,27810713,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800415-1,20066117
100256,1851,27810712,"NORTHGATE EASTLAKE","EXPRESS",0,3800415-1,11066115
100256,1851,27810711,"NORTHGATE EASTLAKE","EXPRESS",0,3800342-1,11066113
100256,1851,27810710,"NORTHGATE EASTLAKE","EXPRESS",0,3800342-1,11066116
100256,1851,27810709,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800342-1,20066117
100256,1851,27810708,"NORTHGATE EASTLAKE","EXPRESS",0,3800342-1,11066115
100256,1851,27810707,"NORTHGATE EASTLAKE","EXPRESS",0,3800312-1,11066113
100256,1851,27810706,"NORTHGATE EASTLAKE","EXPRESS",0,3800381-1,11066113
100256,1851,27810705,"NORTHGATE EASTLAKE","EXPRESS",0,3800381-1,11066113
100256,1851,27810704,"NORTHGATE EASTLAKE","EXPRESS",0,3800375-1,11066113
100256,1851,27810703,"NORTHGATE EASTLAKE","EXPRESS",0,3800311-1,11066113
100256,1851,27810702,"NORTHGATE EASTLAKE","EXPRESS",0,3800345-1,11066113
100256,1851,27810701,"NORTHGATE EASTLAKE","EXPRESS",0,3800312-1,11066113
100256,1851,27810700,"NORTHGATE EASTLAKE","EXPRESS",0,3800312-1,11066113
100256,1851,27810699,"NORTHGATE EASTLAKE","EXPRESS",0,3800395-1,11066113
100256,1851,27810698,"NORTHGATE EASTLAKE","EXPRESS",0,3800347-1,11066113
100256,1851,27810697,"NORTHGATE EASTLAKE","EXPRESS",0,3800347-1,11066113
100256,1851,27810696,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800347-1,20066117
100256,1851,27810695,"NORTHGATE EASTLAKE","EXPRESS",0,3800311-1,11066113
100256,1851,27810694,"NORTHGATE EASTLAKE","EXPRESS",0,3800410-1,11066113
100256,1851,27810693,"NORTHGATE EASTLAKE","EXPRESS",0,3800410-1,11066114
100256,1851,27810692,"NORTHGATE EASTLAKE","EXPRESS",0,3800342-1,11066113
100256,1851,27810691,"NORTHGATE EASTLAKE","EXPRESS",0,3800342-1,11066113
100256,1851,27810690,"NORTHGATE EASTLAKE","EXPRESS",0,3800345-1,11066113
100256,1851,27810689,"NORTHGATE EASTLAKE","EXPRESS",0,3800345-1,11066113
100256,1851,27810688,"NORTHGATE EASTLAKE","EXPRESS",0,3800383-1,11066114
100256,1851,27810687,"NORTHGATE EASTLAKE","EXPRESS",0,3800410-1,11066113
100256,1851,27810686,"NORTHGATE EASTLAKE","EXPRESS",0,3800409-1,11066113
100256,1851,27810685,"NORTHGATE EASTLAKE","EXPRESS",0,3800409-1,11066114
100256,1851,27810684,"NORTHGATE EASTLAKE","EXPRESS",0,3800415-1,11066113
100256,1851,27810683,"NORTHGATE EASTLAKE","EXPRESS",0,3800415-1,11066113
100256,1851,27810682,"NORTHGATE EASTLAKE","EXPRESS",0,3800415-1,11066113
100256,1851,27810681,"NORTHGATE EASTLAKE","EXPRESS",0,3800415-1,11066114
100256,1851,27810680,"NORTHGATE EASTLAKE","EXPRESS",0,3800403-1,11066114
100256,1851,27810679,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800345-1,20066118
100256,1851,27810678,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800395-1,20066118
100256,1851,27810677,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800342-1,20066118
100256,1851,27810676,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800342-1,20066118
100256,1851,27810675,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800312-1,20066118
100256,1851,27810674,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800338-1,20066118
100256,1851,27810673,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800381-1,20066118
100256,1851,27810672,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800381-1,20066118
100256,1851,27810671,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800367-1,20066118
100256,1851,27810670,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800311-1,20066118
100256,1851,27810669,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800311-1,20066118
100256,1851,27810668,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800312-1,20066118
100256,1851,27810667,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800312-1,20066118
100256,1851,27810666,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800312-1,20066118
100256,1851,27810665,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800347-1,20066118
100256,1851,27810664,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800347-1,20066118
100256,1851,27810663,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800410-1,20066118
100256,1851,27810662,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800410-1,20066118
100256,1851,27810661,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800409-1,20066118
100256,1851,27810660,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800342-1,20066118
100256,1851,27810659,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800302-1,20066118
100256,1851,27810658,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800345-1,20066118
100256,1851,27810657,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800398-1,20066118
100256,1851,27810656,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800410-1,20066118
100256,1851,27810655,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800409-1,20066118
100256,1851,27810654,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800409-1,20066118
100256,1851,27810653,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800303-1,20066118
100256,1851,27810652,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800415-1,20066118
100256,1851,27810651,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800415-1,20066118
100256,1851,27810650,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800415-1,20066118
100256,1851,27810649,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800383-1,20066118
100256,1851,27810648,"DOWNTOWN SEATTLE EASTLAKE","EXPRESS",1,3800403-1,20066118
100195,1851,27810647,"LAKE CITY FIRCREST","LOCAL",1,3800301-1,40330006
100193,1851,27810646,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800352-1,10032119
100193,1851,27810645,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800367-1,10032119
100193,1851,27810644,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800304-1,10032119
100193,1851,27810643,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800369-1,10032119
100193,1851,27810642,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800405-1,10032119
100193,1851,27810641,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800352-1,10032119
100193,1851,27810640,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800377-1,10032119
100193,1851,27810639,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800384-1,10032119
100193,1851,27810638,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800307-1,10032119
100193,1851,27810637,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800369-1,10032119
100193,1851,27810636,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800405-1,10032119
100193,1851,27810635,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800304-1,10032119
100193,1851,27810634,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800406-1,10032119
100193,1851,27810633,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800379-1,10032119
100193,1851,27810632,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800357-1,10032119
100193,1851,27810631,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800375-1,10032119
100193,1851,27810630,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800414-1,10032119
100193,1851,27810629,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800392-1,10032119
100193,1851,27810628,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800308-1,10032119
100193,1851,27810627,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800304-1,10032119
100193,1851,27810626,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800377-1,10032119
100193,1851,27810625,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800379-1,10032119
100193,1851,27810624,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800307-1,10032119
100193,1851,27810623,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800351-1,10032119
100193,1851,27810622,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800369-1,10032119
100193,1851,27810621,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800308-1,10032119
100193,1851,27810620,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800304-1,10032119
100193,1851,27810619,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800377-1,10032119
100193,1851,27810618,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800379-1,10032119
100193,1851,27810617,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800307-1,10032119
100193,1851,27810616,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800351-1,10032119
100193,1851,27810615,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800369-1,10032119
100193,1851,27810614,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800308-1,10032119
100193,1851,27810613,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800304-1,10032119
100193,1851,27810612,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800553-1,10032119
100193,1851,27810611,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800379-1,10032119
100193,1851,27810610,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800375-1,10032119
100193,1851,27810609,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800307-1,10032119
100193,1851,27810608,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800411-1,10032119
100193,1851,27810607,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800405-1,10032119
100193,1851,27810606,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800352-1,10032119
100193,1851,27810605,"UNIVERSITY DISTRICT FREMONT","LOCAL",1,3800304-1,10032119
100258,1851,27810604,"SOUTH DOWNTOWN SEATTLE INTERSTATE 5 AND NORTHEAST 45TH STREET","LOCAL",0,3800362-1,21661013
100258,1851,27810603,"SOUTH DOWNTOWN SEATTLE INTERSTATE 5 AND NORTHEAST 45TH STREET","LOCAL",0,3800361-1,21661013
100258,1851,27810602,"SOUTH DOWNTOWN SEATTLE INTERSTATE 5 AND NORTHEAST 45TH STREET","LOCAL",0,3800339-1,21661013
100258,1851,27810600,"INTERSTATE 5 AND NORTHEAST 145TH STREET ","LOCAL",1,3800374-1,10661012
100258,1851,27810599,"INTERSTATE 5 AND NORTHEAST 145TH STREET ","LOCAL",1,3800389-1,10661012
100258,1851,27810598,"INTERSTATE 5 AND NORTHEAST 145TH STREET ","LOCAL",1,3800376-1,10661012
100183,1851,27810597,"FIRST HILL EXPRESS","EXPRESS",1,3800386-1,20309003
100183,1851,27810596,"FIRST HILL EXPRESS","EXPRESS",1,3800327-1,20309003
100183,1851,27810595,"KENMORE P&R EXPRESS","EXPRESS",0,3800326-1,11309002
100183,1851,27810594,"KENMORE P&R EXPRESS","EXPRESS",0,3800333-1,11309002
100183,1851,27810593,"KENMORE P&R EXPRESS","EXPRESS",0,3800336-1,11309002
100183,1851,27810592,"KENMORE P&R EXPRESS","EXPRESS",0,3800329-1,11309002
100183,1851,27810591,"FIRST HILL EXPRESS","EXPRESS",1,3800340-1,20309003
100183,1851,27810590,"FIRST HILL EXPRESS","EXPRESS",1,3800332-1,20309003
100183,1851,27810589,"FIRST HILL EXPRESS","EXPRESS",1,3800397-1,20309003
100178,1851,27810588,"DOWNTOWN SEATTLE ","LOCAL",1,3800375-1,20304020
100178,1851,27810587,"DOWNTOWN SEATTLE ","LOCAL",1,3800390-1,20304020
100178,1851,27810586,"DOWNTOWN SEATTLE ","LOCAL",1,3800374-1,20304020
100178,1851,27810585,"DOWNTOWN SEATTLE ","LOCAL",1,3800331-1,20304020
100178,1851,27810584,"RICHMOND BEACH ","LOCAL",0,3800362-1,11304021
100178,1851,27810583,"RICHMOND BEACH ","LOCAL",0,3800361-1,11304021
100178,1851,27810582,"RICHMOND BEACH ","LOCAL",0,3800355-1,11304021
100178,1851,27810581,"RICHMOND BEACH ","LOCAL",0,3800317-1,11304021
100178,1851,27810580,"RICHMOND BEACH ","LOCAL",0,3800315-1,11304021
100269,1851,27810578,"NORTHGATE LAKE CITY","LOCAL",0,3800379-1,11075157
100269,1851,27810577,"NORTHGATE LAKE CITY","LOCAL",0,3800406-1,11075157
